,power,H,T,P,t1,p1,t2,p2,t4,p4,m4,m_gas,c_pai,c_efficiency,t_efficiency,h_efficiency,h_consumption
0,153.6011216334467,62.72541389828872,21.455834742771035,629.5551700966454,21.373748176956706,-0.1474526008750562,396.4591152163344,1.1416042780749158,589.5113633446779,0.07363636363636292,1120782.4010695186,49053.41711229947,12.287441321472937,0.8226984431643145,0.9054774671686933,0.338519478659699,10634.660734603758
1,153.08981204139235,46.413194979473246,25.260351576519252,607.9808981518352,25.4343367826905,-0.1444308560677325,402.5448730009404,1.1420225776105402,592.0344435559737,0.09842897460018787,1147203.9360301036,48888.18156161806,12.291223316528539,0.8296995339078094,0.9052541759774231,0.3385314144440261,10634.327680884287
2,259.62575000000004,79.15115,19.745425000000015,1002.8773000000001,19.861250000000037,-0.30002499999999804,436.63549999999964,1.6392249999999897,577.1615,0.8148750000000003,1563463.645,70979.3325,17.232925060650096,0.882680435095002,0.8938740824674993,0.3954342541724998,9103.948311337506
3,266.84247071428575,23.035210822500005,34.37560051514284,875.3437886349997,29.901428571428582,-0.28164285714285725,461.2964285714286,1.6786428571428622,595.8032528571423,0.9958571428571426,1616381.7857142857,73512.0,17.62003209071424,0.8920763367071428,0.8788708353,0.39242632737142863,9173.76088747857
4,184.43859259259258,72.29822929381845,2.59663660678315,1025.6673873442628,2.9384629629629484,-1.3564944444444473,387.38987037037157,1.3185444444444525,560.8778703703698,1.7813574074075031,1125214.4307407408,55652.10574074074,14.206479885429788,0.8146533165246364,0.9068138430200003,0.35827938725833364,10048.124413576505
5,191.09530235294125,40.78768568732354,26.583189543735287,153.62713523941176,26.175588235294054,-0.08932352941176405,419.7682352941174,1.3245294117646995,580.2778650000004,0.42729411764705927,1309950.1029411764,56627.876470588235,14.087743222205914,0.8588366161441178,0.9111559940823534,0.364820556361765,9867.922386035292
6,229.66801686046534,32.02402234634886,28.56666293388951,153.12419760936038,27.237441860465065,-0.09180813953488265,437.76133720930164,1.5015523255814014,579.8958742441868,0.8566976744185949,1461060.9069767443,64638.01802325581,15.837197721360186,0.8793198475383731,0.8997102351005811,0.3841242690465118,9372.024048040115
7,228.43062500000005,46.06130555893747,1.1671214596624997,1024.4122741500005,1.814999999999999,-1.6123749999999977,400.65062500000005,1.5154375000000007,552.21125,1.6314375000000017,1299036.75625,64540.175,16.2179614125,0.8388087828687498,0.9030185537375,0.38262873175,9408.667472106252
8,283.5600041516241,63.01523191859208,22.116056057680492,856.2704286968394,21.977346570397128,-0.28236462093862547,450.8005415162461,1.7409115523465795,590.7408922382666,1.1588176895306692,1639098.5324909748,76945.7202166065,18.236481017671494,0.8893732794909731,0.8824901518510817,0.39839565734837584,9036.338281636261
9,280.76087627471395,31.019962779209077,29.927486295192498,689.8099199085341,29.57793964620181,-0.2350936524453665,463.91566077003085,1.711123829344431,610.4667955775253,1.1142819979188465,1626926.2247658689,76765.92039542143,17.933260383137192,0.8930670166659727,0.876884142453695,0.3953896604089484,9105.084900918317
10,283.43366894142923,44.8387865634713,26.63584327714671,806.8900244641051,26.708490059108073,-0.26777001612036,459.1272971520699,1.7268350349274357,605.5144723804407,1.1077915099408864,1637737.880709296,77236.9102632993,18.094565951225245,0.8925733280349274,0.8771965899344405,0.39671688061902305,9074.605599421275
